kabupaten,kecamatan,lokasi,lon,lat,hth,score_hth,analisis_ch,analisis_lon,analisis_lat,analisis_jarak,prediksi_ch,prediksi_lon,prediksi_lat,prediksi_jarak,spi,spi_lon,spi_lat,spi_jarak,skor_hth,skor_analisis,skor_prediksi,skor_spi,ippk,risiko,warna
BANGKA SELATAN,TUKAK SADAI,DESA BUKIT TERAP,106.584111111111,-2.98155555555556,21,4,0.7689999938011169,106.58445181,-2.98266309,0.0011587528979856768,8.79,106.584,-2.982,0.0004581228472589552,-1.5123,106.6,-3.0,0.024344492621347774,4,5,5,4,4.6,Prioritas Sangat Tinggi,#dc3545
BANGKA SELATAN,TUKAK SADAI,SADAI,106.739,-3.01630555555556,25,4,5.045000076293945,106.73945181,-3.01262204,0.0037111210064010697,8.43,106.704,-2.986,0.04629715647350131,-1.0069,106.7,-3.05,0.051539456598023725,4,5,5,3,4.45,Prioritas Sangat Tinggi,#dc3545
BANGKA SELATAN,TOBOALI,RIAS,106.441277777778,-2.97027777777778,12,3,2.388999938964844,106.43945181,-2.97267659,0.0030147070179007544,8.94,106.441,-2.97,0.0003928371008143796,-1.5146,106.45,-2.95,0.02207408960965433,3,5,5,4,4.35,Prioritas Sangat Tinggi,#dc3545
BANGKA SELATAN,AIR GEGAS,AIR GEGAS,106.388305555556,-2.68416666666667,16,3,7.039999961853027,106.38945181,-2.68303004,0.001614255069610944,8.51,106.388,-2.684,0.0003480545583372986,-1.0361,106.4,-2.7,0.01968386332248395,3,5,5,3,4.2,Prioritas Sangat Tinggi,#dc3545
BANGKA TENGAH,KOBA,PENYAK (KOBA2),106.29,-2.40941666666667,11,3,1.3179999589920044,106.28945181,-2.41329727,0.003919131856260551,8.95,106.318,-2.474,0.07039181020859996,-1.2071,106.25,-2.4,0.04109347406963395,3,5,5,3,4.2,Prioritas Sangat Tinggi,#dc3545
BELITUNG TIMUR,KELAPA KAMPIT,KELAPA KAMPIT,108.058472222222,-2.68891666666667,11,3,0.1879999935626983,108.05945181,-2.68802455,0.0013249393804122332,7.9,108.058,-2.689,0.0004795187914796016,-1.1952,108.05,-2.7,0.013950585190471303,3,5,5,3,4.2,Prioritas Sangat Tinggi,#dc3545
BANGKA SELATAN,AIR GEGAS,TEPUS,106.511027777778,-2.71125,12,3,11.255000114440918,106.50945181,-2.71299679,0.002352647389937423,8.51,106.405,-2.724,0.1067916296370651,-2.2012,106.5,-2.7,0.01575355143200683,3,4,5,5,4.15,Prioritas Sangat Tinggi,#dc3545
BANGKA TENGAH,NAMANG,CAMBAI,106.153888888889,-2.24080555555556,17,3,0.7099999785423279,106.15445181,-2.23844151,0.0024301422933587615,9.66,106.154,-2.241,0.00022395160405857303,-0.59198,106.15,-2.25,0.00998304890466004,3,5,5,2,4.05,Prioritas Sangat Tinggi,#dc3545
BANGKA TENGAH,PANGKALAN BARU,MANGKOL,106.089166666667,-2.15666666666667,11,3,4.011000156402588,106.08945181,-2.1585004,0.0018557706372613228,9.13,106.089,-2.157,0.00037267799639579765,-0.039157,106.1,-2.15,0.012720281268443078,3,5,5,2,4.05,Prioritas Sangat Tinggi,#dc3545
BELITUNG TIMUR,SIMPANG PESAK,SIMPANG PESAK,107.96,-3.112,15,3,0.8989999890327454,107.95945181,-3.11247921,0.000728117092360983,7.91,107.966,-3.111,0.006082762530298426,-0.29387,107.95,-3.1,0.015620499351807494,3,5,5,2,4.05,Prioritas Sangat Tinggi,#dc3545
BELITUNG TIMUR,SIMPANG RENGGIANG,SIMPANG RENGGIANG,108.188388888889,-2.87305555555556,11,3,0.3190000057220459,108.18945181,-2.87280668,0.0010916685991476036,8.02,108.188,-2.873,0.0003928371007616873,-0.56326,108.2,-2.85,0.02581427014671739,3,5,5,2,4.05,Prioritas Sangat Tinggi,#dc3545
